TAIUTC       26     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
72 JAN  1    2441317.500000000000    10.000000
72 JUL  1    2441499.500000000000    11.000000
73 JAN  1    2441683.500000000000    12.000000
74 JAN  1    2442048.500000000000    13.000000
75 JAN  1    2442413.500000000000    14.000000
76 JAN  1    2442778.500000000000    15.000000
77 JAN  1    2443144.500000000000    16.000000
78 JAN  1    2443509.500000000000    17.000000
79 JAN  1    2443874.500000000000    18.000000
80 JAN  1    2444239.500000000000    19.000000
81 JUL  1    2444786.500000000000    20.000000
82 JUL  1    2445151.500000000000    21.000000
83 JUL  1    2445516.500000000000    22.000000
85 JUL  1    2446247.500000000000    23.000000
88 JAN  1    2447161.500000000000    24.000000
90 JAN  1    2447892.500000000000    25.000000
91 JAN  1    2448257.500000000000    26.000000
92 JUL  1    2448804.500000000000    27.000000
93 JUL  1    2449169.500000000000    28.000000
94 JUL  1    2449534.500000000000    29.000000
96 JAN  1    2450083.500000000000    30.000000
97 JUL  1    2450630.500000000000    31.000000
99 JAN  1    2451179.500000000000    32.000000
06 JAN  1    2453736.500000000000    33.000000
09 JAN  1    2454832.500000000000    34.000000
12 JUL  1    2456109.500000000000    35.000000
UT1UTC/XY 12241     UNIT(DAY, SEC)   FORMAT(I2,I2,I2,4X,F20.12,3X,F10.6,1X,2F9.5)
800101    2444239.500000000000      .645041    .14170   .25610
800102    2444240.500000000000      .642847    .14130   .25450
800103    2444241.500000000000      .640684    .14080   .25280
800104    2444242.500000000000      .638488    .14020   .25120
800105    2444243.500000000000      .636249    .13950   .24950
800106    2444244.500000000000      .633939    .13870   .24780
800107    2444245.500000000000      .631532    .13770   .24610
800108    2444246.500000000000      .629051    .13670   .24440
800109    2444247.500000000000      .626503    .13560   .24260
800110    2444248.500000000000      .623911    .13450   .24080
800111    2444249.500000000000      .621309    .13330   .23900
800112    2444250.500000000000      .618700    .13200   .23710
800113    2444251.500000000000      .616121    .13070   .23510
800114    2444252.500000000000      .613582    .12930   .23310
800115    2444253.500000000000      .611072    .12790   .23110
800116    2444254.500000000000      .608569    .12640   .22910
800117    2444255.500000000000      .606056    .12490   .22710
800118    2444256.500000000000      .603480    .12340   .22500
800119    2444257.500000000000      .600798    .12180   .22290
800120    2444258.500000000000      .597973    .12020   .22090
800121    2444259.500000000000      .595020    .11861   .21891
800122    2444260.500000000000      .591993    .11691   .21701
800123    2444261.500000000000      .588969    .11521   .21511
800124    2444262.500000000000      .586006    .11351   .21331
800125    2444263.500000000000      .583198    .11181   .21161
800126    2444264.500000000000      .580567    .11001   .21001
800127    2444265.500000000000      .578125    .10831   .20861
800128    2444266.500000000000      .575848    .10651   .20731
800129    2444267.500000000000      .573682    .10471   .20611
800130    2444268.500000000000      .571595    .10291   .20501
800131    2444269.500000000000      .569526    .10121   .20391
800201    2444270.500000000000      .567458    .09941   .20281
800202    2444271.500000000000      .565360    .09771   .20181
800203    2444272.500000000000      .563196    .09601   .20091
800204    2444273.500000000000      .560984    .09431   .20011
800205    2444274.500000000000      .558723    .09261   .19931
800206    2444275.500000000000      .556452    .09091   .19851
800207    2444276.500000000000      .554198    .08921   .19771
800208    2444277.500000000000      .551995    .08761   .19691
800209    2444278.500000000000      .549883    .08601   .19601
800210    2444279.500000000000      .547824    .08441   .19521
800211    2444280.500000000000      .545823    .08291   .19431
800212    2444281.500000000000      .543825    .08151   .19341
800213    2444282.500000000000      .541795    .08001   .19251
800214    2444283.500000000000      .539632    .07861   .19161
800215    2444284.500000000000      .537292    .07731   .19061
800216    2444285.500000000000      .534725    .07581   .18971
800217    2444286.500000000000      .531907    .07451   .18881
800218    2444287.500000000000      .528872    .07311   .18801
800219    2444288.500000000000      .525721    .07181   .18711
800220    2444289.500000000000      .522551    .07051   .18631
800221    2444290.500000000000      .519443    .06921   .18561
800222    2444291.500000000000      .516449    .06791   .18481
800223    2444292.500000000000      .513610    .06671   .18401
800224    2444293.500000000000      .510942    .06551   .18331
800225    2444294.500000000000      .508423    .06431   .18261
800226    2444295.500000000000      .506008    .06322   .18202
800227    2444296.500000000000      .503666    .06202   .18142
800228    2444297.500000000000      .501353    .06092   .18092
800229    2444298.500000000000      .499046    .05982   .18042
800301    2444299.500000000000      .496730    .05882   .18002
800302    2444300.500000000000      .494395    .05772   .17972
800303    2444301.500000000000      .492053    .05672   .17942
800304    2444302.500000000000      .489727    .05562   .17922
800305    2444303.500000000000      .487421    .05452   .17902
800306    2444304.500000000000      .485166    .05352   .17892
800307    2444305.500000000000      .482964    .05242   .17882
800308    2444306.500000000000      .480800    .05122   .17882
800309    2444307.500000000000      .478692    .05002   .17882
800310    2444308.500000000000      .476613    .04872   .17882
800311    2444309.500000000000      .474526    .04742   .17892
800312    2444310.500000000000      .472389    .04602   .17902
800313    2444311.500000000000      .470143    .04452   .17912
